age,job,marital,education,default,balance,housing,loan,contact,day,month,duration,campaign,pdays,previous,poutcome,deposit
39,9,1,2,0,94,1,1,2,16,5,813,1,-1,0,3,1
31,6,2,2,0,144,1,0,2,16,5,676,1,-1,0,3,1
31,1,1,1,0,92,1,0,2,16,5,688,1,-1,0,3,1
29,0,2,1,0,163,1,1,2,16,5,803,1,-1,0,3,1
37,7,0,1,0,49,1,0,2,16,5,619,2,-1,0,3,1
33,1,2,1,0,-416,1,0,2,16,5,767,2,-1,0,3,1
30,9,2,1,0,863,1,0,2,16,5,1193,5,-1,0,3,1
34,1,1,0,0,695,1,1,2,16,5,1064,4,-1,0,3,1
37,4,2,1,0,792,1,0,2,16,5,1187,4,-1,0,3,1
41,0,2,1,0,1020,1,0,2,19,5,882,1,-1,0,3,1
47,1,1,1,0,863,1,0,2,19,5,943,2,-1,0,3,1
31,0,1,1,0,97,1,0,2,19,5,607,1,-1,0,3,1
31,1,1,1,0,754,1,0,2,19,5,1022,4,-1,0,3,1
43,7,0,1,0,1040,1,0,2,19,5,552,3,-1,0,3,1
37,4,0,2,0,122,1,0,2,19,5,1622,2,-1,0,3,1
30,9,2,2,0,880,1,1,2,19,5,967,6,-1,0,3,1
41,9,1,1,0,501,1,0,2,19,5,579,5,-1,0,3,1
35,1,0,1,0,0,1,0,2,20,5,1205,1,-1,0,3,1
29,7,2,1,0,271,1,0,2,20,5,1882,2,-1,0,3,1
35,1,1,0,0,102,1,0,2,20,5,1334,1,-1,0,3,1
31,1,1,1,0,2,1,0,2,20,5,182,2,-1,0,3,1
34,9,2,1,0,85,1,0,2,20,5,1182,4,-1,0,3,1
31,0,2,1,0,431,1,1,2,20,5,1045,1,-1,0,3,1
44,9,0,1,0,982,1,0,2,20,5,650,3,-1,0,3,1
36,1,1,0,0,408,1,1,2,20,5,1063,2,-1,0,3,1
41,1,1,0,0,1250,1,0,2,20,5,1392,2,-1,0,3,1
31,1,2,0,0,216,1,0,2,21,5,565,1,-1,0,3,1
34,1,1,1,0,1207,1,0,2,21,5,905,1,-1,0,3,1
32,9,1,1,0,791,1,0,2,21,5,783,2,-1,0,3,1
36,4,1,2,0,849,1,1,2,21,5,958,2,-1,0,3,1
30,1,2,1,1,239,1,0,2,21,5,412,1,-1,0,3,1
37,9,2,1,0,1211,1,0,2,21,5,795,1,-1,0,3,1
36,1,1,0,0,599,1,0,2,21,5,649,2,-1,0,3,1
31,4,2,2,0,825,1,0,2,21,5,506,2,-1,0,3,1
27,9,1,1,0,2183,1,1,2,21,5,857,1,-1,0,3,1
30,9,2,2,0,1289,1,0,2,21,5,1697,2,-1,0,3,1
32,1,1,1,0,783,1,0,2,21,5,923,3,-1,0,3,1
33,1,1,1,0,0,1,0,2,21,5,521,3,-1,0,3,1
35,1,1,0,0,994,1,0,2,23,5,1349,8,-1,0,3,1
35,6,0,2,0,1354,1,0,2,23,5,736,2,-1,0,3,1
30,1,2,1,0,239,1,0,2,23,5,785,1,-1,0,3,1
45,1,0,0,0,-311,1,0,2,23,5,1030,1,-1,0,3,1
45,0,1,1,0,149,1,0,2,23,5,893,3,-1,0,3,1
33,1,1,1,0,1464,1,0,2,23,5,588,3,-1,0,3,1
40,1,1,0,0,278,1,0,2,23,5,1015,3,-1,0,3,1
30,9,1,2,0,541,1,0,2,26,5,414,2,-1,0,3,1
44,9,0,1,0,1262,1,0,2,26,5,788,11,-1,0,3,1
34,7,1,1,0,-538,1,0,2,26,5,682,1,-1,0,3,1
37,1,1,1,0,125,0,0,2,26,5,679,2,-1,0,3,1
28,6,2,2,0,0,1,0,2,26,5,1560,2,-1,0,3,1
32,0,2,1,0,620,1,0,2,26,5,1234,3,-1,0,3,1
37,1,0,1,0,316,1,0,2,26,5,642,2,-1,0,3,1
34,4,1,2,0,2287,1,0,2,26,5,895,4,-1,0,3,1
38,0,0,1,0,198,1,0,2,26,5,431,2,-1,0,3,1
28,0,2,1,0,460,1,0,2,26,5,741,6,-1,0,3,1
31,4,0,2,0,1145,1,0,2,26,5,1272,4,-1,0,3,1
30,2,2,0,0,0,1,1,2,27,5,1051,1,-1,0,3,1
37,0,1,1,0,274,1,0,2,27,5,731,3,-1,0,3,1
30,0,2,1,0,-213,1,1,2,27,5,751,1,-1,0,3,1
44,7,0,1,0,51,1,1,2,27,5,3094,2,-1,0,3,1
29,4,1,2,0,314,0,0,2,28,5,938,2,-1,0,3,1
27,7,2,1,0,54,1,0,2,28,5,543,2,-1,0,3,1
28,4,1,1,0,292,1,0,2,28,5,507,1,-1,0,3,1
34,4,2,2,0,1058,1,0,2,28,5,864,2,-1,0,3,1
28,8,2,1,0,949,1,0,2,28,5,1730,1,-1,0,3,1
35,1,1,1,0,0,1,1,2,29,5,543,1,-1,0,3,1
35,0,1,1,0,404,1,0,2,29,5,539,1,-1,0,3,1
30,0,1,1,0,873,1,0,2,29,5,792,3,-1,0,3,1
45,1,0,0,0,594,1,0,2,29,5,833,2,-1,0,3,1
29,1,2,1,0,-20,1,0,2,29,5,814,2,-1,0,3,1
30,1,1,1,0,486,1,0,2,29,5,1109,3,-1,0,3,1
44,1,2,0,0,1593,1,0,2,29,5,828,3,-1,0,3,1
38,9,1,1,0,226,1,0,2,30,5,762,3,-1,0,3,1
36,1,2,1,0,366,1,1,2,30,5,1133,2,-1,0,3,1
37,4,0,1,0,16,1,0,2,30,5,638,1,-1,0,3,1
35,4,2,2,0,565,1,0,2,30,5,763,1,-1,0,3,1
38,0,0,1,0,19,1,0,2,30,5,604,2,-1,0,3,1
40,7,1,0,0,1082,1,0,2,30,5,854,2,-1,0,3,1
42,10,0,1,0,1713,1,0,2,30,5,855,2,-1,0,3,1
34,9,0,1,0,1451,1,0,2,30,5,1097,15,-1,0,3,1
32,7,1,1,0,-34,1,0,2,30,5,1236,2,-1,0,3,1
35,1,1,1,0,698,1,1,2,30,5,1343,3,-1,0,3,1
45,9,2,1,0,410,1,0,2,30,5,891,4,-1,0,3,1
31,10,0,0,0,0,1,0,2,30,5,745,12,-1,0,3,1
29,4,2,2,0,0,1,0,2,30,5,539,12,-1,0,3,1
27,1,1,0,0,416,1,0,2,30,5,1193,2,-1,0,3,1
41,1,1,0,0,143,1,1,2,2,6,659,2,-1,0,3,1
36,7,1,0,0,0,1,0,2,2,6,1036,1,-1,0,3,1
32,9,1,1,0,696,1,0,2,2,6,815,1,-1,0,3,1
35,7,1,1,0,152,1,0,2,2,6,563,1,-1,0,3,1
36,4,2,2,0,-78,1,0,2,2,6,1068,1,-1,0,3,1
35,4,1,2,0,867,1,0,2,2,6,230,3,-1,0,3,1
30,1,2,1,0,953,1,0,2,2,6,747,2,-1,0,3,1
42,1,1,1,0,443,1,0,2,2,6,671,5,-1,0,3,1
42,9,2,1,1,-1129,1,0,2,2,6,555,5,-1,0,3,1
32,1,1,0,0,415,1,0,2,2,6,777,4,-1,0,3,1
29,1,2,1,0,260,1,0,2,2,6,707,14,-1,0,3,1
44,4,0,2,1,-411,1,0,2,2,6,432,4,-1,0,3,1
32,9,2,1,0,1279,1,0,2,3,6,1173,3,-1,0,3,1
31,10,1,1,0,86,1,1,2,3,6,963,2,-1,0,3,1
40,6,1,1,1,-754,1,1,2,3,6,941,3,-1,0,3,1
43,2,1,1,0,0,0,0,2,3,6,1025,7,-1,0,3,1
27,4,2,1,0,178,1,0,2,3,6,732,2,-1,0,3,1
37,7,2,1,0,278,1,0,2,3,6,1045,3,-1,0,3,1
47,1,0,0,0,126,1,0,2,3,6,2456,2,-1,0,3,1
35,0,1,1,0,-87,1,0,2,3,6,1363,7,-1,0,3,1
45,4,0,1,0,644,1,0,2,4,6,633,1,-1,0,3,1
30,0,0,1,0,377,1,0,2,4,6,524,15,-1,0,3,1
29,7,2,1,0,-271,1,0,2,4,6,578,1,-1,0,3,1
27,4,2,2,0,99,1,0,2,4,6,767,2,-1,0,3,1
27,4,2,2,1,-713,1,0,2,4,6,525,2,-1,0,3,1
29,7,2,1,0,32,1,0,2,4,6,563,1,-1,0,3,1
30,6,1,2,0,543,1,1,2,4,6,1449,6,-1,0,3,1
36,1,1,0,0,403,1,0,2,4,6,920,1,-1,0,3,1
35,0,0,1,0,437,1,0,2,4,6,908,1,-1,0,3,1
36,1,1,1,0,1772,0,0,2,5,6,208,1,-1,0,3,1
47,2,1,1,0,0,0,0,2,5,6,1446,1,-1,0,3,1
37,4,2,2,0,240,0,0,2,5,6,1123,1,-1,0,3,1
46,0,2,1,0,849,1,0,2,5,6,508,2,-1,0,3,1
43,1,2,1,0,318,1,0,2,5,6,736,2,-1,0,3,1
27,4,2,2,0,703,1,0,2,5,6,590,3,-1,0,3,1
38,7,0,1,0,61,0,0,2,5,6,636,1,-1,0,3,1
47,1,1,1,0,1996,0,0,2,5,6,761,2,-1,0,3,1
41,3,1,1,0,879,0,0,2,5,6,1053,2,-1,0,3,1
29,6,1,1,0,425,1,0,2,5,6,562,15,-1,0,3,1
45,1,0,0,0,844,0,0,2,5,6,1018,3,-1,0,3,1
35,1,1,1,0,860,1,0,2,5,6,884,4,-1,0,3,1
37,1,1,3,0,1508,0,1,2,6,6,381,2,-1,0,3,1
30,0,2,1,0,223,1,0,2,6,6,862,11,-1,0,3,1
38,4,2,2,0,619,1,0,2,6,6,460,4,-1,0,3,1
37,7,0,1,0,319,1,0,2,6,6,467,3,-1,0,3,1
29,1,2,0,0,213,1,0,2,6,6,2653,3,-1,0,3,1
35,4,2,2,0,68,0,0,2,6,6,1085,1,-1,0,3,1
43,4,2,2,0,1046,0,0,2,9,6,901,1,-1,0,3,1
38,9,1,0,0,217,1,0,2,9,6,491,6,-1,0,3,1
48,1,0,0,0,183,0,0,2,9,6,940,1,-1,0,3,1
41,0,2,1,0,812,0,1,2,11,6,583,4,-1,0,3,1
42,0,1,1,0,105,0,0,2,11,6,1159,4,-1,0,3,1
39,4,1,2,0,-190,0,1,2,11,6,893,8,-1,0,3,1
35,1,0,3,0,164,0,0,2,11,6,967,2,-1,0,3,1
36,10,1,1,0,1766,0,0,2,11,6,595,2,-1,0,3,1
40,0,2,2,0,1248,0,0,2,11,6,1290,2,-1,0,3,1
39,6,1,2,0,2630,0,0,2,12,6,651,5,-1,0,3,1
40,4,1,1,0,406,1,0,2,12,6,577,2,-1,0,3,1
48,1,1,1,0,1000,1,0,2,12,6,1268,2,-1,0,3,1
48,4,0,2,0,503,0,1,2,12,6,1243,7,-1,0,3,1
36,1,1,1,0,274,1,0,2,16,6,686,11,-1,0,3,1
42,2,2,3,0,323,0,0,2,16,6,617,1,-1,0,3,1
36,7,1,1,0,981,0,0,2,16,6,1093,1,-1,0,3,1
36,1,0,1,0,638,1,0,2,16,6,1395,2,-1,0,3,1
46,9,1,1,0,536,1,0,2,16,6,750,2,-1,0,3,1
37,4,1,2,0,0,0,0,2,16,6,637,6,-1,0,3,1
40,9,0,2,0,0,0,0,2,17,6,522,1,-1,0,3,1
40,4,1,1,0,106,0,0,2,17,6,676,2,-1,0,3,1
39,1,1,0,0,2303,1,0,2,17,6,775,3,-1,0,3,1
39,6,2,2,0,426,0,0,2,18,6,1029,1,-1,0,3,1
27,0,1,1,0,-97,1,0,2,18,6,1528,2,-1,0,3,1
41,2,1,1,0,707,0,0,2,18,6,707,1,-1,0,3,1
33,9,1,1,0,4,1,1,2,18,6,625,2,-1,0,3,1
46,0,1,1,0,126,0,0,2,18,6,1255,1,-1,0,3,1
31,1,1,1,0,671,1,0,2,18,6,704,4,-1,0,3,1
41,1,1,0,0,219,0,1,2,18,6,1574,3,-1,0,3,1
40,2,1,2,1,0,0,0,2,19,6,952,4,-1,0,3,1
42,1,2,1,0,625,0,0,2,19,6,651,3,-1,0,3,1
41,1,1,0,0,246,0,0,2,19,6,683,3,-1,0,3,1
27,1,1,1,0,61,1,0,2,19,6,1012,1,-1,0,3,1
43,10,1,0,0,519,0,0,2,20,6,973,2,-1,0,3,1
44,7,1,1,0,522,0,1,2,20,6,911,1,-1,0,3,1
29,1,2,1,0,908,1,0,2,20,6,1663,1,-1,0,3,1
47,9,1,2,0,1694,0,1,2,20,6,560,3,-1,0,3,1
40,1,1,1,0,188,1,1,2,20,6,570,2,-1,0,3,1
46,7,0,1,0,0,0,0,2,20,6,1023,3,-1,0,3,1
43,1,2,1,0,740,1,0,2,20,6,585,2,-1,0,3,1
45,4,1,2,0,655,0,0,2,20,6,693,3,-1,0,3,1
40,1,1,1,0,1009,1,1,2,20,6,1036,5,-1,0,3,1
27,1,2,1,1,-27,0,0,2,23,6,498,2,-1,0,3,1
43,4,1,2,0,149,1,0,2,23,6,662,2,-1,0,3,1
27,1,1,2,0,335,1,0,2,26,6,519,3,-1,0,3,1
30,9,1,2,0,526,1,1,2,26,6,677,3,-1,0,3,1
28,0,2,1,0,-7,0,1,2,26,6,3183,2,-1,0,3,1
27,1,1,0,0,-413,0,1,2,27,6,422,6,-1,0,3,1
32,0,0,1,0,-241,0,1,2,27,6,856,2,-1,0,3,1
41,1,2,1,0,75,1,0,2,1,7,479,9,-1,0,3,1
37,9,2,2,0,0,0,0,2,1,7,1135,2,-1,0,3,1
27,9,2,1,0,158,0,0,2,1,7,650,2,-1,0,3,1
29,7,2,1,0,84,0,1,2,3,7,587,3,-1,0,3,1
33,7,1,1,0,114,0,1,2,3,7,676,1,-1,0,3,1
36,9,1,0,0,0,0,0,2,4,7,584,1,-1,0,3,1
28,1,2,1,0,-127,1,0,0,4,7,1044,3,-1,0,3,1
39,9,2,1,0,506,1,0,0,7,7,718,2,-1,0,3,1
42,1,0,0,0,213,1,0,0,7,7,434,3,-1,0,3,1
33,7,2,1,0,170,0,0,0,7,7,782,1,-1,0,3,1
36,2,0,2,0,776,0,1,0,7,7,722,3,-1,0,3,1
45,9,1,1,0,879,0,0,0,7,7,621,2,-1,0,3,1
37,6,1,1,0,1633,0,0,0,7,7,629,2,-1,0,3,1
46,10,1,1,0,926,0,0,0,7,7,385,5,-1,0,3,1
32,6,2,2,0,2559,0,0,0,7,7,889,1,-1,0,3,1
28,9,2,1,0,909,0,1,0,7,7,532,1,-1,0,3,1
45,0,0,1,0,-176,0,1,0,7,7,574,1,-1,0,3,1
41,1,2,1,1,1085,1,1,0,7,7,599,1,-1,0,3,1
47,9,2,1,0,-239,1,1,0,7,7,973,3,-1,0,3,1
31,1,2,1,0,726,0,0,0,7,7,719,2,-1,0,3,1
31,4,2,2,0,296,0,1,0,8,7,509,4,-1,0,3,1
33,2,1,1,0,-627,1,1,0,8,7,740,1,-1,0,3,1
28,1,2,1,0,517,0,1,0,8,7,681,1,-1,0,3,1
33,2,0,2,0,37,0,1,0,8,7,1082,1,-1,0,3,1
45,4,0,2,0,854,0,1,0,8,7,730,1,-1,0,3,1
36,7,1,1,0,30,0,1,0,8,7,716,5,-1,0,3,1
38,9,1,1,0,0,0,0,0,8,7,635,1,-1,0,3,1
40,1,1,0,0,665,1,0,0,9,7,781,1,-1,0,3,1
37,0,1,0,0,214,1,0,0,9,7,645,1,-1,0,3,1
43,1,2,0,0,0,0,0,0,9,7,1242,1,-1,0,3,1
41,7,0,2,0,1583,1,0,0,9,7,662,1,-1,0,3,1
29,0,0,2,1,0,0,1,0,9,7,426,3,-1,0,3,1
39,7,0,1,0,687,1,0,0,9,7,869,1,-1,0,3,1
38,4,1,2,1,327,1,1,0,9,7,556,5,-1,0,3,1
32,4,1,2,0,794,1,1,0,9,7,1014,1,-1,0,3,1
33,1,1,0,0,-191,1,1,0,9,7,1290,4,-1,0,3,1
31,4,2,2,0,409,0,1,0,9,7,564,5,-1,0,3,1
27,10,2,0,0,9,0,1,0,9,7,919,2,-1,0,3,1
30,1,2,1,0,155,1,1,0,9,7,1426,3,-1,0,3,1
35,1,1,1,0,1330,0,0,0,10,7,901,1,-1,0,3,1
34,0,1,1,0,-33,1,1,0,10,7,961,1,-1,0,3,1
28,0,2,1,0,-170,0,1,0,10,7,720,2,-1,0,3,1
30,1,2,1,0,1598,1,0,0,10,7,634,1,-1,0,3,1
30,7,1,1,0,5,0,1,0,10,7,829,5,-1,0,3,1
47,7,1,1,0,367,1,0,0,10,7,476,4,-1,0,3,1
38,4,1,2,0,1722,1,0,0,10,7,500,1,-1,0,3,1
30,1,1,1,0,0,1,1,0,10,7,1399,1,-1,0,3,1
31,8,1,0,0,46,1,0,0,10,7,487,1,-1,0,3,1
29,1,2,1,0,482,0,1,0,10,7,1097,3,-1,0,3,1
29,4,2,2,0,983,1,0,0,11,7,963,2,-1,0,3,1
44,0,1,1,0,1074,1,0,0,11,7,911,2,-1,0,3,1
35,0,1,1,0,-203,1,0,0,11,7,1649,2,-1,0,3,1
35,2,1,1,0,2436,0,1,0,14,7,1397,3,-1,0,3,1
38,9,1,1,0,976,1,0,0,14,7,766,3,-1,0,3,1
34,2,1,2,0,146,1,0,0,14,7,788,2,-1,0,3,1
43,0,1,2,0,189,1,0,0,14,7,1062,4,-1,0,3,1
44,0,0,1,0,163,1,0,0,14,7,1669,2,-1,0,3,1
31,9,1,1,0,1173,1,0,0,14,7,444,3,-1,0,3,1
39,9,1,2,0,0,1,0,0,14,7,894,7,-1,0,3,1
34,1,2,0,0,-109,1,0,0,15,7,860,4,-1,0,3,1
37,4,0,2,0,1775,0,0,0,15,7,514,5,-1,0,3,1
30,1,2,0,0,0,0,0,0,15,7,716,3,-1,0,3,1
46,2,0,1,0,-563,0,1,0,15,7,769,4,-1,0,3,1
29,8,2,2,0,5,0,0,0,15,7,889,5,-1,0,3,1
27,2,1,2,0,139,0,0,0,15,7,448,5,-1,0,3,1
28,4,2,2,0,0,1,0,0,16,7,767,5,-1,0,3,1
34,1,2,1,0,855,1,0,0,16,7,578,1,-1,0,3,1
29,1,2,3,0,694,1,1,0,16,7,1806,4,-1,0,3,1
27,4,2,2,0,151,1,0,0,16,7,496,1,-1,0,3,1
36,4,1,2,0,673,1,0,0,16,7,689,1,-1,0,3,1
44,1,1,0,0,1265,1,0,0,16,7,555,1,-1,0,3,1
39,1,1,2,0,597,0,0,0,16,7,686,6,-1,0,3,1
30,9,1,1,0,-393,1,1,0,16,7,435,1,-1,0,3,1
31,10,0,2,0,256,1,0,0,16,7,873,2,-1,0,3,1
43,1,1,1,0,184,0,1,0,16,7,1019,11,-1,0,3,1
32,1,1,1,0,1905,1,0,0,16,7,709,2,-1,0,3,1
30,0,2,1,0,-36,0,0,0,16,7,561,9,-1,0,3,1
40,1,1,1,0,-839,1,1,0,16,7,1018,2,-1,0,3,1
27,8,1,1,0,119,1,0,0,16,7,781,2,-1,0,3,1
35,4,1,2,0,36,0,1,0,16,7,1656,5,-1,0,3,1
35,3,1,0,0,113,1,0,0,17,7,923,2,-1,0,3,1
32,1,2,1,0,118,1,0,0,17,7,1275,1,-1,0,3,1
39,9,1,1,0,251,1,0,0,17,7,342,2,-1,0,3,1
31,1,0,1,0,-277,1,0,1,17,7,1008,2,-1,0,3,1
42,4,1,2,0,4,1,0,0,17,7,795,1,-1,0,3,1
27,7,2,1,0,1820,1,0,0,17,7,1027,1,-1,0,3,1
33,6,0,1,0,1904,1,0,0,17,7,1584,2,-1,0,3,1
33,0,1,1,0,0,1,0,1,17,7,1448,7,-1,0,3,1
30,9,2,2,0,178,0,0,0,17,7,656,3,-1,0,3,1
42,1,0,0,0,301,1,0,0,17,7,1175,2,-1,0,3,1
31,4,0,2,0,294,1,0,0,17,7,536,5,-1,0,3,1
27,7,1,1,0,0,1,0,0,17,7,991,5,-1,0,3,1
44,1,2,1,0,292,0,1,0,17,7,1153,4,-1,0,3,1
46,3,0,0,0,2084,1,0,0,18,7,1081,2,-1,0,3,1
32,7,0,1,0,454,1,0,0,18,7,978,1,-1,0,3,1
33,1,1,1,0,661,1,0,0,18,7,968,1,-1,0,3,1
33,1,1,1,0,89,1,0,0,18,7,278,2,-1,0,3,1
32,6,1,0,0,102,1,0,0,18,7,560,1,-1,0,3,1
41,1,0,0,0,138,1,0,0,18,7,640,3,-1,0,3,1
31,0,2,1,0,622,0,0,0,18,7,420,1,-1,0,3,1
30,0,0,1,0,10,1,0,0,18,7,658,2,-1,0,3,1
34,0,0,1,0,-251,0,0,0,18,7,641,1,-1,0,3,1
43,2,1,1,0,104,1,0,0,18,7,635,3,-1,0,3,1
28,1,1,1,0,173,0,0,0,18,7,588,7,-1,0,3,1
32,0,0,1,0,-46,0,1,0,18,7,1373,4,-1,0,3,1
31,1,0,1,0,0,1,1,0,18,7,913,4,-1,0,3,1
35,2,2,2,0,145,1,0,0,18,7,799,2,-1,0,3,1
31,4,1,2,0,325,1,0,0,18,7,1139,2,-1,0,3,1
47,9,1,1,0,1981,1,0,0,21,7,919,2,-1,0,3,1
39,4,1,2,0,1423,1,0,1,21,7,733,3,-1,0,3,1
42,10,1,3,0,970,1,0,1,21,7,691,10,-1,0,3,1
40,0,2,1,0,664,0,0,0,21,7,1342,2,-1,0,3,1
35,4,2,2,0,-324,0,1,0,21,7,985,11,-1,0,3,1
34,7,2,1,0,-30,0,0,0,21,7,1360,3,-1,0,3,1
41,4,2,2,0,1253,0,0,0,21,7,1134,5,-1,0,3,1
33,4,2,2,0,30,1,0,0,22,7,1077,1,-1,0,3,1
36,4,0,2,0,81,0,1,0,22,7,560,1,-1,0,3,1
38,9,1,1,0,0,1,0,0,22,7,1545,1,-1,0,3,1
35,9,1,2,0,328,1,0,0,22,7,654,2,-1,0,3,1
41,9,2,2,0,145,0,0,0,22,7,1833,2,-1,0,3,1
41,4,0,3,0,465,1,0,0,22,7,1508,1,-1,0,3,1
28,1,1,1,0,751,1,0,0,22,7,598,5,-1,0,3,1
39,1,2,1,0,0,0,0,0,22,7,864,4,-1,0,3,1
37,0,1,1,0,1110,1,0,1,22,7,802,11,-1,0,3,1
46,4,0,2,0,2166,1,0,0,23,7,870,1,-1,0,3,1
28,9,2,2,0,-123,0,1,0,23,7,690,1,-1,0,3,1
33,7,0,1,0,44,0,1,0,23,7,529,1,-1,0,3,1
32,4,2,1,0,131,1,1,0,23,7,1152,2,-1,0,3,1
32,1,1,1,0,476,1,0,0,23,7,956,9,-1,0,3,1
47,9,2,1,0,1101,1,0,0,23,7,957,3,-1,0,3,1
27,9,1,1,0,-392,1,0,0,23,7,228,2,-1,0,3,1
45,0,1,1,0,524,1,0,0,23,7,808,1,-1,0,3,1
36,0,1,1,0,212,1,1,0,23,7,1201,6,-1,0,3,1
33,7,2,2,0,395,1,0,0,23,7,1359,6,-1,0,3,1
38,2,1,2,0,0,0,0,0,23,7,532,2,-1,0,3,1
40,7,1,1,0,471,1,0,0,24,7,430,4,-1,0,3,1
41,2,2,1,0,663,0,0,0,24,7,1204,1,-1,0,3,1
38,2,1,1,0,593,1,1,0,24,7,1484,24,-1,0,3,1
31,4,1,2,0,1224,1,1,0,24,7,1441,2,-1,0,3,1
28,0,2,1,0,2,1,0,0,24,7,454,1,-1,0,3,1
41,1,1,1,1,720,0,1,0,24,7,651,1,-1,0,3,1
33,4,0,2,0,990,1,0,0,24,7,1491,2,-1,0,3,1
45,0,0,1,0,59,1,0,0,24,7,873,8,-1,0,3,1
31,1,1,0,0,33,1,0,0,24,7,901,2,-1,0,3,1
28,7,2,1,0,340,1,0,0,24,7,821,2,-1,0,3,1
28,10,2,2,0,497,1,0,0,24,7,1602,6,-1,0,3,1
28,9,2,2,0,1628,1,0,0,25,7,1422,2,-1,0,3,1
27,9,2,2,0,372,1,1,0,25,7,728,2,-1,0,3,1
37,7,1,1,0,775,0,1,0,25,7,1000,1,-1,0,3,1
34,1,2,1,0,1759,0,1,0,25,7,695,1,-1,0,3,1
39,3,1,1,0,1444,0,0,1,25,7,362,8,-1,0,3,1
35,9,2,2,0,470,1,0,0,25,7,743,13,-1,0,3,1
30,4,2,2,0,2,1,1,0,25,7,1031,8,-1,0,3,1
42,1,2,0,0,1628,1,0,0,25,7,590,8,-1,0,3,1
30,4,1,2,0,1221,1,0,1,25,7,279,4,-1,0,3,1
35,9,1,2,0,1629,0,0,0,25,7,653,4,-1,0,3,1
48,4,1,1,0,268,1,0,0,28,7,458,7,-1,0,3,1
31,4,1,2,0,0,1,1,0,28,7,664,8,-1,0,3,1
48,3,1,1,0,513,0,1,0,28,7,939,3,-1,0,3,1
40,7,1,1,0,473,1,0,0,28,7,383,3,-1,0,3,1
40,6,2,2,0,1616,0,0,1,28,7,1009,7,-1,0,3,1
38,1,0,1,0,1817,1,0,0,28,7,1096,4,-1,0,3,1
48,4,0,2,0,2263,0,0,0,29,7,874,2,-1,0,3,1
